visual,practice,ai_use,ai_help,ai_understand,minimalism,practice_best,notes,study_type,study_time,age,actions_tasks,actions_review,actions_video,actions_read,ai_purpose_tasks,ai_purpose_search,ai_purpose_fun,ai_purpose_study,perception_video_images,perception_memorization,perception_practice,perception_text,learning_style_visual,learning_style_memorization,learning_style_minimalism,learning_style_practical
2,2,1,1,2,0,0,3,0,0,19,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
3,2,1,2,4,1,0,2,0,1,19,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
2,1,2,2,3,0,1,1,1,2,20,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0
2,1,2,2,4,1,1,1,1,2,18,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
4,1,2,2,2,1,0,2,1,3,19,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
3,1,1,2,4,1,1,2,0,2,19,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1
1,2,2,2,4,1,1,3,0,3,20,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,0,2,1,3,1,1,3,1,0,19,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4,1,2,2,3,0,1,2,0,1,18,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
2,0,2,2,4,0,2,2,0,0,17,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
4,1,2,2,4,1,1,3,1,1,17,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
3,1,1,2,2,0,1,3,1,1,18,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0
2,2,2,2,4,0,1,3,0,2,18,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
4,2,2,2,3,1,2,3,0,1,18,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0
1,1,1,2,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,1,1,2,1,1,2,1,0,1,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,1,0,1,2,1,2,1,1,0,19,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,1,2,2,2,1,2,1,0,0,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,2,1,2,4,1,2,3,0,1,18,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
2,1,1,1,3,1,2,3,0,3,19,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
2,1,2,2,1,0,2,1,0,2,18,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
4,1,2,2,3,1,2,2,1,2,19,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
4,2,2,0,0,1,2,0,1,3,20,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4,1,2,2,3,1,2,1,1,1,20,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
2,1,1,2,2,1,2,3,0,2,18,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
3,2,1,2,3,1,2,3,1,2,18,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1
3,1,1,2,3,1,1,3,1,2,19,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
3,1,2,2,3,1,1,2,0,1,19,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1
3,2,2,2,2,1,1,2,0,1,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,2,2,2,2,1,2,1,0,1,18,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
4,0,1,2,3,0,1,0,1,1,18,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
2,2,2,2,4,1,2,3,0,2,19,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
2,1,1,2,2,1,0,2,1,0,20,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3,1,0,1,1,1,0,2,0,2,18,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
