"Отметка времени","Как вы лучше воспринимаете информацию? ","Что вы чаще делаете при изучении темы?  ","Насколько вам важны визуальные материалы?  ","Как часто вы выполняете практические задания?  ","Как часто вы используете ИИ (например, ChatGPT)?  ","Для чего вы используете ИИ?  ","Помогает ли ИИ вам в обучении?  ","Насколько ИИ помогает вам понимать сложные темы?  ","Предпочитаете ли вы краткие материалы (минимализм)?  ","  Какой стиль обучения вам ближе?  ","Насколько вы согласны: «Практика — лучший способ обучения»  ","Как часто вы делаете конспекты?  ","Предпочитаете учиться:  ","Сколько времени вы тратите на обучение в день?  ","Ваш возраст  "
"2026/03/21 8:52:22 PM GMT+6","Практика","Читаю;Делаю задания","Средне важны","Всегда","Несколько раз в неделю","Учёба;Поиск информации","Иногда","Помогает умеренно","Нет","Практический","Затрудняюсь ответить","Всегда","Самостоятельно","< 1 часа","19"
"2026/03/21 8:52:36 PM GMT+6","Практика","Смотрю видео;Делаю задания","Важны","Всегда","Несколько раз в неделю","Учёба;Поиск информации","Да","Очень помогает","Да","Практический","Затрудняюсь ответить","Иногда","Самостоятельно","1–2 часа","19"
"2026/03/21 8:59:51 PM GMT+6","Заучивание","Смотрю видео;Делаю задания","Средне важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий;Развлечения","Да","Помогает хорошо","Нет","Заучивание","Скорее согласен","Редко","В группе","2–4 часа","20"
"2026/03/22 5:32:09 PM GMT+6","Практика","Делаю задания","Средне важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий;Развлечения","Да","Очень помогает","Да","Практический","Скорее согласен","Редко","В группе","2–4 часа","18"
"2026/03/22 9:09:15 PM GMT+6","Практика","Читаю","Очень важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Помогает умеренно","Да","Визуальный","Затрудняюсь ответить","Иногда","В группе","4 часа и больше","19"
"2026/03/22 9:40:18 PM GMT+6","Практика","Читаю;Смотрю видео;Делаю задания;Повторяю","Важны","Иногда","Несколько раз в неделю","Учёба;Поиск информации;Выполнение заданий","Да","Очень помогает","Да","Практический","Скорее согласен","Иногда","Самостоятельно","2–4 часа","19"
"2026/03/22 9:53:29 PM GMT+6","Текст","Читаю;Делаю задания;Повторяю","Немного важны","Всегда","Каждый день","Поиск информации","Да","Очень помогает","Да","Минимализм","Скорее согласен","Всегда","Самостоятельно","4 часа и больше","20"
"2026/03/22 11:17:13 PM GMT+6","Видео / изображения","Повторяю","Не важны","Редко","Каждый день","Поиск информации","Иногда","Помогает хорошо","Да","Визуальный","Скорее согласен","Всегда","В группе","< 1 часа","19"
"2026/03/23 3:57:04 PM GMT+6","Практика","Смотрю видео","Очень важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий;Развлечения","Да","Помогает хорошо","Нет","Практический","Скорее согласен","Иногда","Самостоятельно","1–2 часа","18"
"2026/03/23 3:59:29 PM GMT+6","Практика","Читаю","Средне важны","Редко","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Очень помогает","Нет","Заучивание","Полностью согласен","Иногда","Самостоятельно","< 1 часа","17"
"2026/03/23 4:06:47 PM GMT+6","Видео / изображения","Смотрю видео;Повторяю","Очень важны","Иногда","Каждый день","Учёба;Поиск информации;Развлечения","Да","Очень помогает","Да","Визуальный","Скорее согласен","Всегда","В группе","1–2 часа","17"
"2026/03/23 4:48:27 PM GMT+6","Практика","Читаю;Смотрю видео;Делаю задания;Повторяю","Важны","Иногда","Несколько раз в неделю","Учёба;Поиск информации;Выполнение заданий","Да","Помогает умеренно","Нет","Визуальный","Скорее согласен","Всегда","В группе","1–2 часа","18"
"2026/03/23 5:05:06 PM GMT+6","Практика","Делаю задания;Повторяю","Средне важны","Всегда","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Очень помогает","Нет","Практический","Скорее согласен","Всегда","Самостоятельно","2–4 часа","18"
"2026/03/25 1:56:52 PM GMT+6","Видео / изображения","Читаю","Очень важны","Всегда","Каждый день","Учёба;Поиск информации;Выполнение заданий;Развлечения","Да","Помогает хорошо","Да","Визуальный","Полностью согласен","Всегда","Самостоятельно","1–2 часа","18"
"2026/03/25 1:58:21 PM GMT+6","Практика","Делаю задания","Немного важны","Иногда","Несколько раз в неделю","Учёба","Да","Помогает слабо","Да","Практический","Скорее согласен","Редко","Самостоятельно","< 1 часа","18"
"2026/03/25 2:00:29 PM GMT+6","Практика","Читаю","Важны","Иногда","Несколько раз в неделю","Поиск информации","Да","Помогает слабо","Да","Практический","Полностью согласен","Редко","Самостоятельно","1–2 часа","18"
"2026/03/25 2:00:30 PM GMT+6","Практика","Смотрю видео","Очень важны","Иногда","Редко","Поиск информации","Иногда","Помогает умеренно","Да","Практический","Полностью согласен","Редко","В группе","< 1 часа","19"
"2026/03/25 2:00:41 PM GMT+6","Практика","Делаю задания","Очень важны","Иногда","Каждый день","Поиск информации","Да","Помогает умеренно","Да","Практический","Полностью согласен","Редко","Самостоятельно","< 1 часа","17"
"2026/03/25 2:02:54 PM GMT+6","Видео / изображения","Читаю","Очень важны","Всегда","Несколько раз в неделю","Учёба;Поиск информации;Выполнение заданий","Да","Очень помогает","Да","Минимализм","Полностью согласен","Всегда","Самостоятельно","1–2 часа","18"
"2026/03/25 2:25:05 PM GMT+6","Практика","Читаю;Смотрю видео","Средне важны","Иногда","Несколько раз в неделю","Поиск информации;Выполнение заданий","Иногда","Помогает хорошо","Да","Практический","Полностью согласен","Всегда","Самостоятельно","4 часа и больше","19"
"2026/03/25 2:28:55 PM GMT+6","Видео / изображения","Читаю;Делаю задания","Средне важны","Иногда","Каждый день","Учёба;Поиск информации","Да","Помогает слабо","Нет","Практический","Полностью согласен","Редко","Самостоятельно","2–4 часа","18"
"2026/03/25 2:35:13 PM GMT+6","Практика","Делаю задания;Повторяю","Очень важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Помогает хорошо","Да","Практический","Полностью согласен","Иногда","В группе","2–4 часа","19"
"2026/03/25 2:43:16 PM GMT+6","Видео / изображения","Смотрю видео","Очень важны","Всегда","Каждый день","Развлечения","Нет","Не помогает","Да","Практический","Полностью согласен","Никогда","В группе","4 часа и больше","20"
"2026/03/25 2:50:42 PM GMT+6","Видео / изображения","Читаю;Повторяю","Очень важны","Иногда","Каждый день","Учёба;Выполнение заданий","Да","Помогает хорошо","Да","Практический","Полностью согласен","Редко","В группе","1–2 часа","20"
"2026/03/25 3:07:47 PM GMT+6","Практика","Читаю;Смотрю видео;Делаю задания;Повторяю","Средне важны","Иногда","Несколько раз в неделю","Учёба;Поиск информации;Развлечения","Да","Помогает умеренно","Да","Практический","Полностью согласен","Всегда","Самостоятельно","2–4 часа","18"
"2026/03/25 4:52:59 PM GMT+6","Практика","Смотрю видео;Делаю задания","Важны","Всегда","Несколько раз в неделю","Учёба;Поиск информации;Развлечения","Да","Помогает хорошо","Да","Практический","Полностью согласен","Всегда","В группе","2–4 часа","18"
"2026/03/25 5:30:13 PM GMT+6","Текст","Читаю","Важны","Иногда","Несколько раз в неделю","Учёба;Поиск информации;Выполнение заданий;Развлечения","Да","Помогает хорошо","Да","Практический","Скорее согласен","Всегда","В группе","2–4 часа","19"
"2026/03/25 7:33:20 PM GMT+6","Текст","Читаю;Смотрю видео","Важны","Иногда","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Помогает хорошо","Да","Практический","Скорее согласен","Иногда","Самостоятельно","1–2 часа","19"
"2026/03/27 12:05:32 AM GMT+6","Практика","Читаю","Важны","Всегда","Каждый день","Поиск информации","Да","Помогает умеренно","Да","Минимализм","Скорее согласен","Иногда","Самостоятельно","1–2 часа","18"
"2026/03/27 12:07:26 AM GMT+6","Практика","Читаю;Смотрю видео;Делаю задания","Немного важны","Всегда","Каждый день","Учёба;Поиск информации;Выполнение заданий","Да","Помогает умеренно","Да","Практический","Полностью согласен","Редко","Самостоятельно","1–2 часа","18"
"2026/03/29 9:58:07 PM GMT+6","Видео / изображения","Смотрю видео;Делаю задания","Очень важны","Редко","Несколько раз в неделю","Учёба;Поиск информации","Да","Помогает хорошо","Нет","Визуальный","Скорее согласен","Никогда","В группе","1–2 часа","18"
"2026/03/30 10:12:57 PM GMT+6","Видео / изображения","Смотрю видео","Средне важны","Всегда","Каждый день","Учёба","Да","Очень помогает","Да","Практический","Полностью согласен","Всегда","Самостоятельно","2–4 часа","19"
"2026/03/31 7:47:29 PM GMT+6","Заучивание","Повторяю","Средне важны","Иногда","Несколько раз в неделю","Поиск информации","Да","Помогает умеренно","Да","Минимализм","Затрудняюсь ответить","Иногда","В группе","< 1 часа","20"
